n:1 mse_avg:2.96 mse_y:2.96 mse_u:2.97 mse_v:2.96 psnr_avg:43.38 psnr_y:43.42 psnr_u:43.41 psnr_v:43.42 
n:76 mse_avg:12413.69 mse_y:13634.53 mse_u:8224.35 mse_v:11719.63 psnr_avg:7.16 psnr_y:6.78 psnr_u:8.98 psnr_v:7.44 
n:77 mse_avg:10979.98 mse_y:12105.50 mse_u:7124.45 mse_v:10333.44 psnr_avg:7.69 psnr_y:7.30 psnr_u:9.60 psnr_v:7.99 
n:78 mse_avg:4307.97 mse_y:5943.63 mse_u:684.07 mse_v:1389.19 psnr_avg:11.75 psnr_y:10.39 psnr_u:19.78 psnr_v:16.70 
n:79 mse_avg:4199.82 mse_y:5815.89 mse_u:642.10 mse_v:1293.23 psnr_avg:11.86 psnr_y:10.48 psnr_u:20.05 psnr_v:17.01 
n:80 mse_avg:4434.56 mse_y:6119.73 mse_u:720.25 mse_v:1408.18 psnr_avg:11.63 psnr_y:10.26 psnr_u:19.56 psnr_v:16.64 
n:81 mse_avg:8422.23 mse_y:9848.68 mse_u:4286.36 mse_v:6852.28 psnr_avg:8.84 psnr_y:8.20 psnr_u:11.81 psnr_v:9.77 
n:82 mse_avg:12142.46 mse_y:13742.70 mse_u:7168.74 mse_v:10715.23 psnr_avg:7.25 psnr_y:6.75 psnr_u:9.58 psnr_v:7.83 
n:83 mse_avg:12049.47 mse_y:13623.70 mse_u:7133.08 mse_v:10668.91 psnr_avg:7.29 psnr_y:6.79 psnr_u:9.60 psnr_v:7.85 
n:84 mse_avg:11987.58 mse_y:13542.84 mse_u:7112.56 mse_v:10641.57 psnr_avg:7.31 psnr_y:6.81 psnr_u:9.61 psnr_v:7.86 
n:85 mse_avg:4542.87 mse_y:6269.36 mse_u:753.78 mse_v:1425.97 psnr_avg:11.52 psnr_y:10.16 psnr_u:19.36 psnr_v:16.59 
n:86 mse_avg:4445.40 mse_y:6143.49 mse_u:720.12 mse_v:1378.35 psnr_avg:11.62 psnr_y:10.25 psnr_u:19.56 psnr_v:16.74 
n:87 mse_avg:4423.06 mse_y:6117.84 mse_u:712.89 mse_v:1354.12 psnr_avg:11.64 psnr_y:10.26 psnr_u:19.60 psnr_v:16.81 
n:88 mse_avg:4435.89 mse_y:6136.34 mse_u:716.04 mse_v:1353.89 psnr_avg:11.63 psnr_y:10.25 psnr_u:19.58 psnr_v:16.81 
n:89 mse_avg:4380.15 mse_y:6059.11 mse_u:704.90 mse_v:1339.59 psnr_avg:11.68 psnr_y:10.31 psnr_u:19.65 psnr_v:16.86 
n:90 mse_avg:4628.00 mse_y:6386.81 mse_u:777.49 mse_v:1443.24 psnr_avg:11.44 psnr_y:10.08 psnr_u:19.22 psnr_v:16.54 
n:91 mse_avg:4485.75 mse_y:6197.83 mse_u:730.02 mse_v:1393.16 psnr_avg:11.58 psnr_y:10.21 psnr_u:19.50 psnr_v:16.69 
n:92 mse_avg:4718.93 mse_y:6513.83 mse_u:791.94 mse_v:1466.34 psnr_avg:11.36 psnr_y:9.99 psnr_u:19.14 psnr_v:16.47 
n:93 mse_avg:10128.98 mse_y:11672.96 mse_u:5876.91 mse_v:8205.12 psnr_avg:8.04 psnr_y:7.46 psnr_u:10.44 psnr_v:8.99 
n:94 mse_avg:12131.76 mse_y:13642.47 mse_u:7392.57 mse_v:10828.10 psnr_avg:7.26 psnr_y:6.78 psnr_u:9.44 psnr_v:7.79 
n:95 mse_avg:9880.87 mse_y:11506.82 mse_u:5305.56 mse_v:7952.39 psnr_avg:8.15 psnr_y:7.52 psnr_u:10.88 psnr_v:9.13 
n:96 mse_avg:10003.81 mse_y:11232.20 mse_u:6016.78 mse_v:9077.32 psnr_avg:8.10 psnr_y:7.63 psnr_u:10.34 psnr_v:8.55 
n:97 mse_avg:4751.09 mse_y:6552.20 mse_u:812.14 mse_v:1485.61 psnr_avg:11.33 psnr_y:9.97 psnr_u:19.03 psnr_v:16.41 
n:98 mse_avg:4647.64 mse_y:6418.51 mse_u:770.72 mse_v:1441.09 psnr_avg:11.42 psnr_y:10.06 psnr_u:19.26 psnr_v:16.54 
n:99 mse_avg:4653.75 mse_y:6430.12 mse_u:773.35 mse_v:1428.70 psnr_avg:11.42 psnr_y:10.05 psnr_u:19.25 psnr_v:16.58 
n:100 mse_avg:4664.08 mse_y:6443.97 mse_u:781.36 mse_v:1427.22 psnr_avg:11.41 psnr_y:10.04 psnr_u:19.20 psnr_v:16.59 
n:101 mse_avg:4682.16 mse_y:6467.84 mse_u:791.00 mse_v:1430.59 psnr_avg:11.39 psnr_y:10.02 psnr_u:19.15 psnr_v:16.58 
n:102 mse_avg:4790.01 mse_y:6594.69 mse_u:863.89 mse_v:1497.44 psnr_avg:11.29 psnr_y:9.94 psnr_u:18.77 psnr_v:16.38 
n:103 mse_avg:4690.84 mse_y:6471.59 mse_u:813.16 mse_v:1445.49 psnr_avg:11.38 psnr_y:10.02 psnr_u:19.03 psnr_v:16.53 
n:104 mse_avg:4657.47 mse_y:6427.32 mse_u:825.31 mse_v:1410.26 psnr_avg:11.42 psnr_y:10.05 psnr_u:18.96 psnr_v:16.64 
n:105 mse_avg:4884.42 mse_y:6724.53 mse_u:908.92 mse_v:1499.46 psnr_avg:11.21 psnr_y:9.85 psnr_u:18.55 psnr_v:16.37 
n:106 mse_avg:11222.13 mse_y:12611.31 mse_u:6876.88 mse_v:10010.65 psnr_avg:7.60 psnr_y:7.12 psnr_u:9.76 psnr_v:8.13 
n:107 mse_avg:11235.17 mse_y:12632.12 mse_u:6882.24 mse_v:10000.29 psnr_avg:7.59 psnr_y:7.12 psnr_u:9.75 psnr_v:8.13 
n:108 mse_avg:11352.44 mse_y:12750.20 mse_u:6982.30 mse_v:10131.53 psnr_avg:7.55 psnr_y:7.08 psnr_u:9.69 psnr_v:8.07 
n:109 mse_avg:11471.33 mse_y:12866.05 mse_u:7088.32 mse_v:10275.45 psnr_avg:7.50 psnr_y:7.04 psnr_u:9.63 psnr_v:8.01 
n:110 mse_avg:4882.58 mse_y:6726.09 mse_u:914.00 mse_v:1477.09 psnr_avg:11.21 psnr_y:9.85 psnr_u:18.52 psnr_v:16.44 
n:111 mse_avg:4785.01 mse_y:6600.93 mse_u:869.73 mse_v:1436.63 psnr_avg:11.30 psnr_y:9.93 psnr_u:18.74 psnr_v:16.56 
n:112 mse_avg:4795.03 mse_y:6616.40 mse_u:871.88 mse_v:1432.70 psnr_avg:11.29 psnr_y:9.92 psnr_u:18.73 psnr_v:16.57 
n:113 mse_avg:4930.41 mse_y:6790.60 mse_u:957.88 mse_v:1462.16 psnr_avg:11.17 psnr_y:9.81 psnr_u:18.32 psnr_v:16.48 
n:114 mse_avg:4870.69 mse_y:6722.49 mse_u:906.51 mse_v:1427.65 psnr_avg:11.22 psnr_y:9.86 psnr_u:18.56 psnr_v:16.58 
