n:74 mse_avg:6.17 mse_y:8.15 mse_u:2.63 mse_v:1.80 psnr_avg:40.19 psnr_y:39.02 psnr_u:43.93 psnr_v:45.58 
n:75 mse_avg:5.89 mse_y:7.74 mse_u:2.56 mse_v:1.79 psnr_avg:40.40 psnr_y:39.24 psnr_u:44.04 psnr_v:45.61 
n:76 mse_avg:672.21 mse_y:1005.17 mse_u:8.30 mse_v:4.29 psnr_avg:19.82 psnr_y:18.11 psnr_u:38.94 psnr_v:41.80 
n:77 mse_avg:1508.74 mse_y:2256.44 mse_u:18.08 mse_v:8.59 psnr_avg:16.31 psnr_y:14.60 psnr_u:35.56 psnr_v:38.79 
n:78 mse_avg:1591.90 mse_y:2380.77 mse_u:19.28 mse_v:9.02 psnr_avg:16.08 psnr_y:14.36 psnr_u:35.28 psnr_v:38.58 
n:79 mse_avg:1017.08 mse_y:1522.01 mse_u:9.71 mse_v:4.72 psnr_avg:18.02 psnr_y:16.31 psnr_u:38.26 psnr_v:41.39 
n:80 mse_avg:4.75 mse_y:6.15 mse_u:2.28 mse_v:1.65 psnr_avg:41.33 psnr_y:40.24 psnr_u:44.54 psnr_v:45.94 
n:81 mse_avg:11705.42 mse_y:11399.17 mse_u:11956.12 mse_v:12679.75 psnr_avg:7.41 psnr_y:7.56 psnr_u:7.35 psnr_v:7.10 
n:82 mse_avg:1562.98 mse_y:2334.30 mse_u:30.66 mse_v:10.04 psnr_avg:16.16 psnr_y:14.45 psnr_u:33.27 psnr_v:38.11 
n:83 mse_avg:5.56 mse_y:7.27 mse_u:2.58 mse_v:1.73 psnr_avg:40.64 psnr_y:39.52 psnr_u:44.02 psnr_v:45.74 
n:84 mse_avg:6.30 mse_y:8.31 mse_u:2.70 mse_v:1.84 psnr_avg:40.11 psnr_y:38.94 psnr_u:43.82 psnr_v:45.48 
n:85 mse_avg:6.43 mse_y:8.51 mse_u:2.69 mse_v:1.86 psnr_avg:40.01 psnr_y:38.83 psnr_u:43.84 psnr_v:45.44 
n:86 mse_avg:7.04 mse_y:9.40 mse_u:2.72 mse_v:1.89 psnr_avg:39.62 psnr_y:38.40 psnr_u:43.78 psnr_v:45.36 
n:87 mse_avg:6.16 mse_y:8.11 mse_u:2.71 mse_v:1.83 psnr_avg:40.20 psnr_y:39.04 psnr_u:43.81 psnr_v:45.51 
n:88 mse_avg:4.71 mse_y:6.05 mse_u:2.37 mse_v:1.67 psnr_avg:41.37 psnr_y:40.31 psnr_u:44.39 psnr_v:45.91 
n:89 mse_avg:12238.85 mse_y:11905.28 mse_u:12507.18 mse_v:13304.81 psnr_avg:7.22 psnr_y:7.37 psnr_u:7.16 psnr_v:6.89 
n:90 mse_avg:12261.48 mse_y:11938.26 mse_u:12505.02 mse_v:13310.82 psnr_avg:7.21 psnr_y:7.36 psnr_u:7.16 psnr_v:6.89 
n:91 mse_avg:1676.23 mse_y:2504.54 mse_u:29.38 mse_v:9.82 psnr_avg:15.85 psnr_y:14.14 psnr_u:33.45 psnr_v:38.21 
n:92 mse_avg:5.34 mse_y:6.96 mse_u:2.50 mse_v:1.69 psnr_avg:40.82 psnr_y:39.71 psnr_u:44.15 psnr_v:45.85 
n:93 mse_avg:5.94 mse_y:7.86 mse_u:2.52 mse_v:1.72 psnr_avg:40.36 psnr_y:39.18 psnr_u:44.12 psnr_v:45.77 
n:94 mse_avg:48.92 mse_y:72.19 mse_u:2.84 mse_v:1.89 psnr_avg:31.20 psnr_y:29.55 psnr_u:43.59 psnr_v:45.37 
n:95 mse_avg:1060.38 mse_y:1585.64 mse_u:11.92 mse_v:7.76 psnr_avg:17.84 psnr_y:16.13 psnr_u:37.37 psnr_v:39.23 
n:96 mse_avg:1052.90 mse_y:1574.72 mse_u:11.34 mse_v:7.19 psnr_avg:17.87 psnr_y:16.16 psnr_u:37.58 psnr_v:39.56 
n:97 mse_avg:4.38 mse_y:5.62 mse_u:2.20 mse_v:1.58 psnr_avg:41.68 psnr_y:40.63 psnr_u:44.70 psnr_v:46.14 
n:98 mse_avg:5.04 mse_y:6.57 mse_u:2.32 mse_v:1.62 psnr_avg:41.07 psnr_y:39.95 psnr_u:44.48 psnr_v:46.05 
n:99 mse_avg:5.15 mse_y:6.75 mse_u:2.28 mse_v:1.63 psnr_avg:40.98 psnr_y:39.84 psnr_u:44.55 psnr_v:46.00 
n:100 mse_avg:5.94 mse_y:7.91 mse_u:2.34 mse_v:1.69 psnr_avg:40.36 psnr_y:39.15 psnr_u:44.44 psnr_v:45.84 
