n:51 mse_avg:1.07 mse_y:1.21 mse_u:0.83 mse_v:0.76 psnr_avg:47.79 psnr_y:47.29 psnr_u:48.95 psnr_v:49.31 
n:52 mse_avg:1.41 mse_y:1.67 mse_u:0.95 mse_v:0.85 psnr_avg:46.59 psnr_y:45.90 psnr_u:48.35 psnr_v:48.85 
n:53 mse_avg:1.42 mse_y:1.68 mse_u:0.93 mse_v:0.86 psnr_avg:46.58 psnr_y:45.88 psnr_u:48.45 psnr_v:48.77 
n:54 mse_avg:1.64 mse_y:2.02 mse_u:0.92 mse_v:0.85 psnr_avg:45.94 psnr_y:45.07 psnr_u:48.47 psnr_v:48.84 
n:55 mse_avg:1.91 mse_y:2.41 mse_u:0.96 mse_v:0.87 psnr_avg:45.29 psnr_y:44.31 psnr_u:48.32 psnr_v:48.74 
n:56 mse_avg:1.07 mse_y:1.20 mse_u:0.83 mse_v:0.76 psnr_avg:47.82 psnr_y:47.33 psnr_u:48.96 psnr_v:49.30 
n:57 mse_avg:1.41 mse_y:1.66 mse_u:0.94 mse_v:0.86 psnr_avg:46.61 psnr_y:45.92 psnr_u:48.39 psnr_v:48.78 
n:58 mse_avg:1.42 mse_y:1.69 mse_u:0.92 mse_v:0.86 psnr_avg:46.57 psnr_y:45.86 psnr_u:48.50 psnr_v:48.79 
n:59 mse_avg:1.65 mse_y:2.04 mse_u:0.93 mse_v:0.84 psnr_avg:45.91 psnr_y:45.04 psnr_u:48.43 psnr_v:48.87 
n:60 mse_avg:1.93 mse_y:2.43 mse_u:0.97 mse_v:0.88 psnr_avg:45.24 psnr_y:44.27 psnr_u:48.27 psnr_v:48.67 
n:61 mse_avg:1.08 mse_y:1.22 mse_u:0.82 mse_v:0.77 psnr_avg:47.77 psnr_y:47.27 psnr_u:48.98 psnr_v:49.26 
n:62 mse_avg:1.42 mse_y:1.68 mse_u:0.93 mse_v:0.88 psnr_avg:46.57 psnr_y:45.88 psnr_u:48.44 psnr_v:48.69 
n:63 mse_avg:1.42 mse_y:1.68 mse_u:0.93 mse_v:0.87 psnr_avg:46.58 psnr_y:45.88 psnr_u:48.46 psnr_v:48.76 
n:64 mse_avg:1.64 mse_y:2.01 mse_u:0.94 mse_v:0.85 psnr_avg:45.95 psnr_y:45.09 psnr_u:48.41 psnr_v:48.81 
n:65 mse_avg:1.92 mse_y:2.42 mse_u:0.95 mse_v:0.87 psnr_avg:45.27 psnr_y:44.29 psnr_u:48.35 psnr_v:48.75 
n:66 mse_avg:1.08 mse_y:1.21 mse_u:0.84 mse_v:0.78 psnr_avg:47.76 psnr_y:47.29 psnr_u:48.87 psnr_v:49.21 
n:67 mse_avg:1.40 mse_y:1.64 mse_u:0.95 mse_v:0.86 psnr_avg:46.64 psnr_y:45.97 psnr_u:48.36 psnr_v:48.77 
n:68 mse_avg:1.41 mse_y:1.67 mse_u:0.94 mse_v:0.86 psnr_avg:46.60 psnr_y:45.91 psnr_u:48.39 psnr_v:48.79 
n:69 mse_avg:1.65 mse_y:2.02 mse_u:0.94 mse_v:0.85 psnr_avg:45.93 psnr_y:45.07 psnr_u:48.40 psnr_v:48.84 
n:70 mse_avg:1.91 mse_y:2.40 mse_u:0.99 mse_v:0.89 psnr_avg:45.28 psnr_y:44.33 psnr_u:48.17 psnr_v:48.66 
n:71 mse_avg:1.08 mse_y:1.21 mse_u:0.84 mse_v:0.80 psnr_avg:47.78 psnr_y:47.32 psnr_u:48.90 psnr_v:49.12 
n:72 mse_avg:1.39 mse_y:1.64 mse_u:0.94 mse_v:0.88 psnr_avg:46.66 psnr_y:45.99 psnr_u:48.41 psnr_v:48.68 
n:73 mse_avg:1.42 mse_y:1.67 mse_u:0.94 mse_v:0.88 psnr_avg:46.58 psnr_y:45.90 psnr_u:48.41 psnr_v:48.67 
n:74 mse_avg:1.64 mse_y:2.02 mse_u:0.93 mse_v:0.85 psnr_avg:45.95 psnr_y:45.08 psnr_u:48.44 psnr_v:48.84 
n:75 mse_avg:1.90 mse_y:2.39 mse_u:0.96 mse_v:0.87 psnr_avg:45.31 psnr_y:44.34 psnr_u:48.32 psnr_v:48.71 
n:76 mse_avg:1.07 mse_y:1.20 mse_u:0.85 mse_v:0.77 psnr_avg:47.79 psnr_y:47.32 psnr_u:48.85 psnr_v:49.25 
n:77 mse_avg:1.41 mse_y:1.67 mse_u:0.95 mse_v:0.87 psnr_avg:46.59 psnr_y:45.91 psnr_u:48.35 psnr_v:48.75 
n:78 mse_avg:1.41 mse_y:1.67 mse_u:0.94 mse_v:0.84 psnr_avg:46.60 psnr_y:45.90 psnr_u:48.42 psnr_v:48.87 
